커피 벌스데이||카페,디저트
펠른||카페||17:30에 브레이크타임
클레르연남||카페,디저트||23:00에 라스트오더
새로오픈||멜팅오브||21:50에 라스트오더
새로오픈||모닝캄커피랩 연남점||21:20에 라스트오더
새로오픈||롱베케이션||20:30에 라스트오더
얼스어스||카페,디저트||21:00에 영업 종료
하우에버 연남||카페,디저트||21:10에 라스트오더
코코로카라||베이커리||21:00에 영업 종료
조앤도슨||카페,디저트||20:00에 라스트오더
에브리데이해피벌스데이||카페,디저트||21:30에 라스트오더
청수당공명||카페,디저트||22:00에 영업 종료
터틀힙||카페,디저트||20:00에 영업 종료
멜티드||아이스크림||20:00에 영업 종료
잼잼||카페,디저트||22:00에 영업 종료
랜디스도넛 연남점||도넛||20:30에 라스트오더
Are&am||카페,디저트||21:00에 영업 종료
작당모의||카페,디저트||21:00에 영업 종료
어니스트팬케이크||카페,디저트||21:30에 라스트오더
카페 레이어드 연남점||카페,디저트||22:00에 영업 종료
땡스오트 연남||카페,디저트||19:00에 영업 종료
호안끼엠||카페,디저트||24:00에 영업 종료
파이인더샵||카페,디저트||20:00에 라스트오더
미라지커피||카페,디저트||23:00에 영업 종료
카페밀노 연남||카페,디저트||22:00에 영업 종료
연남살롱||카페||20:00에 라스트오더
치플레||베이커리||19:30에 영업 종료
씨스루 홍대연남점||카페,디저트||21:30에 라스트오더
소하염전 연남||카페,디저트||21:00에 라스트오더
바나나하루키||카페,디저트||22:00에 영업 종료
브론시스||카페,디저트||21:30에 라스트오더
스트로베리32 연남본점||베이커리||20:00에 영업 종료
버터앤쉘터 연남점||카페,디저트||21:00에 영업 종료
티크닉||카페,디저트||21:00에 영업 종료
동명양과자점||베이커리||18:00에 영업 종료
서울페이스트리 연남점||베이커리||20:30에 라스트오더
카페클로이인패리스||카페,디저트||21:15에 라스트오더
새로오픈||더세컨드하우스||00:40에 라스트오더
브라운하우스 연남||카페,디저트||22:00에 영업 종료
펠른||카페||17:30에 브레이크타임
리틀빅토리||카페,디저트||20:00에 영업 종료
파롤앤랑그||카페,디저트||21:00에 영업 종료
카페스콘||카페,디저트||21:30에 라스트오더
마가렛 연남||카페,디저트||22:00에 영업 종료
턴다운서비스||카페,디저트||23:00에 영업 종료
꽈페 연남본점||베이커리||21:00에 영업 종료
새로오픈||야미양||20:00에 영업 종료
테일러커피 연남점||카페||22:00에 영업 종료
콩카페 연남점||카페||21:00에 라스트오더
코이크||카페,디저트||21:00에 라스트오더
목화씨라운지||카페,디저트||21:30에 영업 종료
새로오픈||가스프||07/29 휴무
피에트라||아이스크림||22:00에 영업 종료
코리코카페||카페,디저트||19:30에 라스트오더
커피리브레 연남점||카페,디저트||19:45에 라스트오더
